Name,WHO Region,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
India,South-East Asia,180530,13.08,9472,0.69,1761
Indonesia,South-East Asia,43567,15.93,911,0.33,143
Bangladesh,South-East Asia,10497,6.37,675,0.41,112
Nepal,South-East Asia,3091,10.61,38,0.13,8
Myanmar,South-East Asia,3206,5.89,0,0,0
Sri Lanka,South-East Asia,620,2.9,22,0.1,2
Thailand,South-East Asia,108,0.15,11,0.02,4
Maldives,South-East Asia,70,12.95,3,0.55,0
Timor-Leste,South-East Asia,2,0.15,0,0,0
Bhutan,South-East Asia,1,0.13,0,0,0
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0
Philippines,Western Pacific,16048,14.64,899,0.82,88
Japan,Western Pacific,9671,7.65,246,0.19,30
Malaysia,Western Pacific,1386,4.28,53,0.16,8
Republic of Korea,Western Pacific,1802,3.51,27,0.05,1
China,Western Pacific,4856,0.33,2,0,0
Singapore,Western Pacific,30,0.51,0,0,0
Australia,Western Pacific,910,3.57,1,0,0
Mongolia,Western Pacific,49,1.49,24,0.73,5
French Polynesia,Western Pacific,141,50.19,0,0,0
Papua New Guinea,Western Pacific,91,1.02,22,0.25,1
Guam,Western Pacific,136,80.58,0,0,0
Cambodia,Western Pacific,49,0.29,16,0.1,4
Viet Nam,Western Pacific,35,0.04,0,0,0
New Zealand,Western Pacific,26,0.54,0,0,0
Wallis and Futuna,Western Pacific,5,44.46,0,0,0
Brunei Darussalam,Western Pacific,3,0.69,0,0,0
Northern Mariana Islands (Commonwealth of the),Western Pacific,2,3.47,0,0,0
New Caledonia,Western Pacific,0,0,0,0,0
Fiji,Western Pacific,2,0.22,0,0,0
Lao People's Democratic Republic,Western Pacific,0,0,0,0,0
Solomon Islands,Western Pacific,0,0,0,0,0
Marshall Islands,Western Pacific,0,0,0,0,0
Samoa,Western Pacific,0,0,0,0,0
Vanuatu,Western Pacific,0,0,0,0,0
American Samoa,Western Pacific,0,0,0,0,0
Cook Islands,Western Pacific,0,0,0,0,0
Kiribati,Western Pacific,0,0,0,0,0
Micronesia (Federated States of),Western Pacific,0,0,0,0,0
Nauru,Western Pacific,0,0,0,0,0
Niue,Western Pacific,0,0,0,0,0
Palau,Western Pacific,0,0,0,0,0
Pitcairn Islands,Western Pacific,0,0,0,0,0
Tokelau,Western Pacific,0,0,0,0,0
Tonga,Western Pacific,0,0,0,0,0
Tuvalu,Western Pacific,0,0,0,0,0
